Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	54	50.467289719626166	5.242549256916175E-32	APP, CD40, CSF2, CXCL8, HFE, SERPINE1, PLAT, MPO, FGF2, TNF, ICAM1, THBD, PLAU, IL10, EDN1, MMP2, MMP3, IL18, MMP9, F3, TNFRSF1A, IL1A, IFNG, IL1B, CAT, PECAM1, LTA, CRP, CETP, PON1, LPL, LCAT, PLG, EGFR, INS, CCL2, HMOX1, APOE, APOB, TGFB1, VCAM1, FN1, GCG, IGF1, PPBP, SELE, IL2, SOD1, VEGFA, IL4, IL6, CD40LG, GLB1, LEP	107	1347	18224	6.82788335449493	1.231999075375301E-29	1.231999075375301E-29	1.0904502454385643E-29
GOTERM_CC_DIRECT	GO:0005576~extracellular region	47	43.925233644859816	2.0770695168560144E-21	CRP, APP, CETP, NOTCH3, CSF2, CXCL8, PON1, SERPINE1, PTEN, LCAT, HBB, LPL, PLAT, PLG, FGF2, TNF, TTN, INS, PLAU, KDR, CCL2, APOE, APOB, IL10, EDN1, TGFB1, MMP1, BDNF, MMP2, MMP3, IL18, FN1, GCG, IGF1, HBA1, PPBP, MMP9, IL2, TNFRSF1A, SOD1, VEGFA, IL4, IL1A, IL6, IFNG, IL1B, LEP	107	1610	18224	4.972009055552331	4.881113364611634E-19	2.440556682305817E-19	2.1601522975302548E-19
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	16	14.953271028037381	1.6073132629896406E-12	ABCA1, CD40, VCAM1, HFE, GSR, ECE1, SLC2A4, TNF, ICAM1, IL4, IL6, CD40LG, IFNG, PECAM1, LDLR, TLR4	107	213	18224	12.793822122767757	3.777084200962122E-10	1.2590620560085516E-10	1.1144038623394841E-10
GOTERM_CC_DIRECT	GO:0009986~cell surface	22	20.5607476635514	4.508573012797087E-12	KCNH2, APP, CD40, TGFB1, VCAM1, HSPA5, LPL, PLAT, PLG, SLC6A2, F3, TNF, EGFR, ICAM1, TNFRSF1A, VEGFA, THBD, CD40LG, PLAU, SCN5A, LDLR, TLR4	107	542	18224	6.913266889678242	1.0595246902056488E-9	2.6487866450182884E-10	2.3444579666544853E-10
GOTERM_CC_DIRECT	GO:0045121~membrane raft	15	14.018691588785046	1.513563326917629E-11	ABCA1, APP, SLC2A4, SELE, SLC6A2, TNF, EGFR, ICAM1, TNFRSF1A, CASP3, KDR, PECAM1, OLR1, KRAS, NOS1	107	206	18224	12.401778423010615	3.5568825662579684E-9	7.113747636512856E-10	6.296423439977337E-10
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	56	52.336448598130836	4.4055067469070334E-11	APP, CD40, HFE, SERPINE1, PTEN, ECE1, SLC2A4, SLC6A2, TNF, PLB1, ICAM1, THBD, PLAU, CASP3, KDR, AKT1, OLR1, SCN5A, KCNH2, MMP2, PRKCD, F3, TNFRSF1A, AR, ADRB3, PIK3CA, CAT, PECAM1, LTA, TLR4, NOTCH3, SRC, LPL, ADRB1, PLG, ADRB2, EGFR, TERT, HMOX1, APOE, APOB, LDLR, ABCA1, PTPN1, TGFB1, VCAM1, HSPA5, NOS3, INSR, GCG, IGF1, SELE, ESR1, SOD1, CD40LG, KRAS	107	4121	18224	2.3144368824371178	1.0352946833158683E-8	1.725490142538588E-9	1.5272423389277715E-9
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	19	17.75700934579439	1.771935668512429E-8	KCNH2, ABCA1, APP, NOS2, BDNF, SRC, HFE, PRKCD, ECE1, SLC2A4, SELE, EGFR, MAPK8IP1, GLB1, CCL2, HMOX1, PPARG, NOS1, TLR4	107	621	18224	5.211010278868873	4.164040179666095E-6	5.948641172863154E-7	5.265180272151217E-7
GOTERM_CC_DIRECT	GO:0031093~platelet alpha granule lumen	8	7.476635514018691	2.973897380988031E-8	APP, TGFB1, SERPINE1, FN1, PLG, PPBP, IGF1, VEGFA	107	55	18224	24.77349192863211	6.988634535520788E-6	8.735823556652341E-7	7.73213319056888E-7
GOTERM_CC_DIRECT	GO:0043235~receptor complex	10	9.345794392523365	5.414247889477564E-8	NOTCH3, APP, ADRB3, INSR, OLR1, ADRB2, LDLR, EGFR, NR3C2, TNFRSF1A	107	127	18224	13.410847008609906	1.2723401953240732E-5	1.413720282252475E-6	1.251292845568148E-6
GOTERM_CC_DIRECT	GO:0005901~caveola	8	7.476635514018691	9.72845156001689E-8	SRC, NOS3, INSR, HMOX1, NOS1, SCN5A, PTGS2, SELE	107	65	18224	20.962185478073327	2.286160093700751E-5	2.286186116603969E-6	2.023517924483513E-6
